,-22.4,-16.7,-15,-14.6,-16.3,-15.3,-19,-16.7.1,-20,-22.3,-21.1,-16.7.2
0,-23.7,-35.6,-36.6,-36.4,-37.0,-34.5,-37.0,-39.5,-38.7,-38.5,-32.5,-17.8
1,-22.4,-41.4,-45.0,-46.7,-46.0,-32.0,-40.0,-46.2,-46.0,-45.0,-39.2,-26.4
2,-21.8,-41.7,-47.0,-48.0,-47.0,-40.0,-44.5,-48.3,-48.5,-47.7,-43.8,-34.3
3,-21.4,-41.3,-47.3,-48.7,-48.2,-45.0,-47.0,-49.2,-49.6,-48.8,-46.0,-39.0
4,-22.2,-39.0,-47.0,-49.0,-49.5,-47.0,-48.3,-49.0,-49.9,-49.9,-48.0,-41.6
5,-20.6,-38.6,-47.9,-48.0,-50.2,-48.2,-50.0,-50.5,-49.5,-49.0,-47.5,-43.0
6,-21.0,-37.8,-47.0,-50.0,-50.0,-49.5,-49.0,-49.0,-50.0,-50.0,-50.0,-44.8
7,-18.6,-36.9,-47.6,-49.0,-50.0,-49.2,-59.0,-50.0,-50.0,-50.0,-50.0,-45.0
8,-19.6,-36.0,-46.6,-49.0,-49.7,-49.6,-49.8,-50.0,-50.0,-50.0,-49.6,-45.5
9,-24.0,-37.7,-45.0,-48.7,-47.8,-47.8,-48.0,-49.0,-49.0,-49.0,-49.0,-46.0
10,-31.6,-36.9,-39.0,-42.5,-44.0,-45.5,-45.5,-46.0,-46.0,-46.0,-47.0,-44.0
