-25.25,-19.6,-17,-16.6,-16.5,-16.8,-17,-18,-18.5,-19,-19.9,-21.5
-23.7,-31,-31.5,-31.6,-30,-30.8,-31,-31.5,-31.2,-32,-31.3,-14
-22.9,-34,-37,-36.3,-36.5,-32,-30.8,-36.6,-37.3,-36.5,-34.3,-22.6
-22,-33.9,-37.6,-38.3,-37.9,-36.3,-35,-38,-38,-37.5,-36.7,-30.8
-22,-33.5,-39,-39.5,-39.2,-38.4,-38.5,-39,-39.3,-39.2,-38.5,-35
-22.2,-34.5,-38.5,-39.5,-39,-39.3,-39.3,-39.1,-39,-39,-38.8,-37
-22,-34.9,-39.8,-40.7,-41.1,-40.7,-40.8,-40.7,-40.3,-40,-39.8,-39
-21,-35,-40.1,-40.5,-40.9,-41,-41.3,-40.4,-39.9,-40,-40,-40
-21,-34,-40.4,-41.7,-42,-41.7,-41.1,-41.4,-40.7,-41,-40.5,-41.3
-21,-34.5,-40.7,-42.3,-43.2,-43,-43.7,-43.4,-42.6,-42.8,-42.9,-42.8
-24.3,-35.7,-39,-40.4,-40.7,-40.52,-41.2,-40,-40,-40.8,-40.3,-41.5
-32,-33.6,-35.5,-39.5,-40.8,-41.3,-42.5,-42.3,-42.5,-42.7,-42.8,-42
