-25.7,-24.5,-23.3,-22.6,-23.1,-22.3,-22.2,-22.5,-20.9,-22.2,-24.4,-29.8
-14,-1.3,1.3,1,2,0.1,3.3,3,2,2.6,-2,-26
-21.8,-20,-17.3,-18.3,-18.6,-19.2,-17,-17.4,-17.5,-14,-1,-22.5
-31.5,-29,-29,-28.2,-28.2,-28.5,-27.5,-28.1,-26.5,-19.6,-0.6,-21.8
-34,-30.5,-30,-30,-30,-30,-30.2,-30.2,-29,-20,3,-19
-32,-28.5,-34,-34.5,-35.8,-35,-34,-32.4,-30.6,-20.1,-1.5,-20
-42,-36,-41.2,-29,-36,-36,-37,-37,-33,-19.9,-0.7,-20
-44,-41,-41,-40,-41.2,-41.1,-40,-39,-34,-19,1.5,-20
-45,-42,-42.7,-42.5,-42.5,-42.3,-41.6,-39.5,-34.9,-23.3,-1.34,-20
-45,-43,-43,-43,-43,-42.5,-41.5,-40.1,-35,-20,-1.5,-18
-47,-44,-44,-44,-43.8,-43.8,-43,-42,-36,-34,0,-22
-50,-46,-47,-46,-46,-45,-45,-43,-39,-35,-30,-31
