-22.4,-16.7,-15,-14.6,-16.3,-15.3,-19,-16.7,-20,-22.3,-21.1,-16.7
-23.7,-35.6,-36.6,-36.4,-37,-34.5,-37,-39.5,-38.7,-38.5,-32.5,-17.8
-22.4,-41.4,-45,-46.7,-46,-32,-40,-46.2,-46,-45,-39.2,-26.4
-21.8,-41.7,-47,-48,-47,-40,-44.5,-48.3,-48.5,-47.7,-43.8,-34.3
-21.4,-41.3,-47.3,-48.7,-48.2,-45,-47,-49.2,-49.6,-48.8,-46,-39
-22.2,-39,-47,-49,-49.5,-47,-48.3,-49,-49.9,-49.9,-48,-41.6
-20.6,-38.6,-47.9,-48,-50.2,-48.2,-50,-50.5,-49.5,-49,-47.5,-43
-21,-37.8,-47,-50,-50,-49.5,-49,-49,-50,-50,-50,-44.8
-18.6,-36.9,-47.6,-49,-50,-49.2,-59,-50,-50,-50,-50,-45
-19.6,-36,-46.6,-49,-49.7,-49.6,-49.8,-50,-50,-50,-49.6,-45.5
-24,-37.7,-45,-48.7,-47.8,-47.8,-48,-49,-49,-49,-49,-46
-31.6,-36.9,-39,-42.5,-44,-45.5,-45.5,-46,-46,-46,-47,-44
